metric,series_count,label_keys
json_exporter_last_scrape_error,0,""
observatory_alive,0,""
observatory_delay_seconds,0,""
observatory_last_seen_timestamp_seconds,0,""
observatory_last_try_timestamp_seconds,0,""
process_cpu_seconds_total,0,""
process_max_fds,0,""
process_open_fds,0,""
process_resident_memory_bytes,0,""
process_start_time_seconds,0,""
process_virtual_memory_bytes,0,""
python_gc_collections_total,0,""
python_gc_objects_collected_total,0,""
python_gc_objects_uncollectable_total,0,""
python_info,0,""
scrape_duration_seconds,0,""
scrape_response_size_bytes,0,""
scrape_samples_post_metric_relabeling,0,""
scrape_samples_scraped,0,""
scrape_series_added,0,""
scrape_timeout_seconds,0,""
traffic_downlink_bytes_total,0,""
traffic_uplink_bytes_total,0,""
up,0,""
